CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2013 Score,Change in Yearly Score,Property Rights,Change in Property Rights,Freedom from Corruption,Change in Freedom from Corruption,Fiscal Freedom ,Change in Fiscal Freedom,Gov't Spending,Change in Gov't Spending,Business Freedom,Change in Business Freedom,Labor Freedom,Change in Labor Freedom,Monetary Freedom,Change in Monetary Freedom,Trade Freedom,Change in Trade Freedom,Investment Freedom ,Change in Investment Freedom,Financial Freedom,Change in Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,83.2,N/A,59.7,N/A,75.8,N/A,69.5,N/A,N/A,N/A,65,N/A,N/A,N/A,N/A,20,20,9.2,23.7,Afghanistan,31.1,$29.7,5.7,10.3,$956 ,N/A,11.2,$83.4,12.1
2,Albania,Albania,Europe,58,27,65.2,0.1,30,-5,31,-2,92.6,1.2,75.1,5.6,81,2.8,49,-2,78.4,-0.2,79.8,0,65,0,70,0,5.1,10,10,23.3,28.8,Albania,3.2,$24.9,2,4.4,"$7,741 ",13.5,3.4,"$1,031.4",58.9
3,Algeria,Algeria,Middle East / North Africa,145,14,49.6,-1.4,30,0,29,0,80.4,-2.5,44.1,-3.8,65.2,-1.1,52.6,-1.8,76.6,0.3,67.8,-5,20,0,30,0,8.6,35,25,10.4,43.1,Algeria,36,$263.7,2.5,2.7,"$7,333 ",10,4.5,"$2,571.0",9.9
4,Angola,Angola,Sub-Saharan Africa,158,40,47.3,0.6,15,-5,20,1,82.6,-1.5,60.6,7.4,43.1,-2.4,44.8,0.9,61.5,0.3,70.2,5,35,0,40,0,7.4,17,35,14.9,36.3,Angola,19.6,$115.7,3.4,8.8,"$5,895 ",N/A,13.5,"-$5,585.5",30.9
5,Argentina,Argentina,South and Central America / Caribbean,160,27,46.7,-1.3,15,-5,30,1,64.3,-1.2,52.1,-4.8,60.1,-0.9,47.4,-1.5,60.4,-0.3,67.6,0,40,0,30,0,6.2,35,35,33.5,40,Argentina,40.9,$716.4,8.9,6.8,"$17,516 ",7.2,9.8,"$7,243.1",44.2
6,Armenia,Armenia,Europe,38,17,69.4,0.6,30,0,26,0,88,-1.3,82.1,7.2,87.6,-0.2,77.1,0.5,73,-0.1,85.4,0,75,0,70,0,2.3,20,20,20,24.4,Armenia,3.3,$17.9,4.4,2.2,"$5,384 ",5.9,7.7,$524.6,35.1
7,Australia,Australia,Asia-Pacific,3,3,82.6,-0.5,90,0,88,1,66.4,3,62.8,-4.3,95.5,3.6,83.5,-7.1,83.8,-0.7,86.2,0,80,0,90,0,1.9,45,30,20.9,35.2,Australia,22.7,$914.5,2,2.6,"$40,234 ",5.1,3.4,"$41,316.7",22.9
8,Austria,Austria,Europe,25,14,71.8,1.5,90,0,78,-1,51.1,0.6,23.5,8.1,73.6,3.3,80.4,2.3,79.3,-2.9,86.8,-0.4,85,5,70,0,1.6,50,25,42,50.5,Austria,8.4,$352.0,3.1,1.3,"$41,822 ",4.5,3.6,"$14,127.9",72.2
9,Azerbaijan,Azerbaijan,Asia-Pacific,88,14,59.7,0.8,25,5,24,0,85.5,0.6,67.8,4.1,69.2,0.6,79.4,-2.2,73.5,-1,77.2,0,55,0,40,0,3.9,30,20,12.4,32.8,Azerbaijan,9.1,$93.1,0.1,9.7,"$10,202 ",1,7.9,"$1,465.0",10.2
10,"Bahamas, The",Bahamas,South and Central America / Caribbean,35,3,70.1,2.1,70,0,73,18,97,-0.7,84.9,-0.3,71.3,0.4,81.6,-1.1,75.8,-0.2,47,4.8,30,0,70,0,21.5,0,0,17.4,22.4,The Bahamas,0.3,$10.8,2,-0.5,"$30,959 ",13.7,2.5,"$1,533.3",48.6
11,Bahrain,Bahrain,Middle East / North Africa,12,1,75.5,0.3,55,0,51,2,99.9,0,72.4,0.2,75.8,-0.7,90.4,-0.7,72.5,2.1,82.8,0,75,0,80,0,3.6,0,0,3.9,30.3,Bahrain,1.1,$31.1,1.8,4.8,"$27,556 ",4,1,$780.9,36.5
12,Bangladesh,Bangladesh,Asia-Pacific,132,28,52.6,-0.6,20,0,27,3,72.7,-0.1,92.1,-1.8,68,-0.5,51.9,-4,65.4,-2.1,54,0,55,0,20,0,13,25,45,9,16.2,Bangladesh,166.7,$282.2,6.1,6.1,"$1,693 ",5,10.7,"$1,136.4",42.9
13,Barbados,Barbados,South and Central America / Caribbean,39,6,69.3,0.3,80,0,78,0,74.5,3.4,54.2,14.1,74.8,-15.2,84.4,4.4,72.1,-3.7,60.5,0,55,0,60,0,14.8,35,25,26.5,39.1,Barbados,0.3,$6.5,0.5,0,"$23,417 ",11.2,9.4,$333.6,117.3
14,Belarus,Belarus,Europe,154,42,48,-1,20,0,24,-1,88.8,2.2,43.5,8.6,75.2,3.9,76.9,-0.1,40.7,-24.6,80.8,0.4,20,0,10,0,2.1,12,18,25.6,43.4,Belarus,9.4,$141.8,5.3,6.4,"$15,028 ",N/A,53.2,"$3,985.8",50.2
15,Belgium,Belgium,Europe,40,18,69.2,0.2,80,0,75,4,45,0.2,14.5,2.4,91.6,-0.7,69.8,-1.5,79.3,-1.9,86.8,-0.3,80,0,70,0,1.6,50,33,43.8,53.4,Belgium,11,$413.3,1.9,1,"$37,737 ",7.4,3.5,"$89,142.4",98.5
16,Belize,Belize,South and Central America / Caribbean,102,20,57.3,-4.6,30,0,0,-20,82.2,-0.6,72.6,-2,72.6,-1,71.4,-10.8,77.3,-0.3,77.2,-0.9,40,-10,50,0,6.4,25,25,23.1,30.2,Belize,0.3,$2.8,2.5,2,"$8,264 ",13.1,1.9,$93.8,80.3
17,Benin,Benin,Sub-Saharan Africa,101,15,57.6,1.9,30,0,30,2,76.1,-0.1,86.1,6.2,45.4,2.5,49.7,-1.8,79.9,0.2,59.3,0,70,10,50,0,15.4,35,30,16.2,21.6,Benin,9.9,$14.7,3.1,3.6,"$1,481 ",N/A,2.7,$118.5,31.3
18,Bhutan,Bhutan,Asia-Pacific,122,25,55,-1.6,60,0,57,0,82.7,-1.1,38.8,-16.5,60.5,0.8,84.4,5.8,67.3,-5.3,49.5,0,20,0,30,0,17.8,25,30,14.4,45.2,Bhutan,0.7,$4.3,5.9,9.1,"$6,112 ",4,8.6,$13.9,82
19,Bolivia,Bolivia,South and Central America / Caribbean,156,25,47.9,-2.3,10,0,28,0,88.8,1.8,64.1,1.9,55.8,-0.7,30.8,-10,67.4,-5.4,74.3,0,10,-10,50,0,5.4,13,25,18,34.6,Bolivia,10.6,$50.9,5.1,4.8,"$4,789 ",5.8,9.9,$858.9,32.9
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,103,38,57.3,0,20,0,32,0,83.2,-1.1,26.9,2.5,54.3,-0.9,61.2,0.8,79,-1.7,86.4,0.4,70,0,60,0,1.8,10,10,38.5,49.4,Bosnia and Herzegovina,3.9,$31.6,1.7,2.2,"$8,133 ",43.3,3.7,$435.1,40.6
21,Botswana,Botswana,Sub-Saharan Africa,30,2,70.6,1,70,0,61,3,79.5,1.2,65.1,11.4,69,-0.1,69.8,-0.4,72,-0.4,79.7,0,70,-5,70,0,5.2,25,22,30.7,34.1,Botswana,1.9,$29.7,4.6,2.8,"$16,030 ",7.5,8.5,$587.1,17.3
22,Brazil,Brazil,South and Central America / Caribbean,100,19,57.7,-0.2,50,0,38,1,70.3,1.2,54.8,0,53,-0.7,57.2,-1.9,74.4,-1.4,69.7,0,50,0,60,0,7.6,27.5,34,32.5,38.8,Brazil,194.9,"$2,294.2",2.7,4.2,"$11,769 ",6,6.6,"$66,660.1",66.2
23,Bulgaria,Bulgaria,Europe,60,29,65,0.3,30,0,33,-3,94,0.4,64.2,13.9,73.6,0.9,74.8,-9.4,78.6,0.8,86.8,-0.3,55,0,60,0,1.6,10,10,19.9,34.6,Bulgaria,7.4,$101.0,1.7,1.7,"$13,597 ",9.6,3.4,"$1,864.5",17
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,86,10,59.9,-0.7,30,0,30,-1,81.4,1,82,-2,61.2,-1.6,56.4,-2.5,80.6,-0.8,72.5,0,55,0,50,0,8.8,30,30,7.8,24.5,Burkina Faso,15,$22.0,5.6,5.1,"$1,466 ",N/A,2.8,$7.4,29.4
25,Burma,Burma,Asia-Pacific,172,40,39.2,0.5,10,0,15,1,81.9,-0.1,96.8,0.8,20,0,20,0,65.1,3.9,73.6,0,0,0,10,0,3.2,30,30,3.2,10.4,Burma,62.4,$82.7,5.5,6.3,"$1,325 ",5.5,4.2,$850.0,44.3
26,Burundi,Burundi,Sub-Saharan Africa,148,34,49,0.9,20,0,19,1,71.5,-0.7,22.6,-0.3,58.4,12.3,66.4,-0.8,68.7,-2.2,78.9,0,55,0,30,0,5.5,35,35,20.1,50.8,Burundi,8.4,$5.2,4.2,4.3,$615 ,N/A,14.9,$1.7,35.3
27,Cambodia,Cambodia,Asia-Pacific,95,16,58.5,0.9,30,0,21,0,90.9,-0.2,88.4,-1.6,39.4,-1.3,54.2,7,81.3,0.6,70.2,5,60,0,50,0,9.9,20,20,10.7,19.7,Cambodia,15.1,$33.5,6.1,5.8,"$2,216 ",3.5,5.5,$891.7,28.6
